Nombre de la Vista,Nombre del Campo,Tipo de Dato,Longitud Max,Permite Nulos,Posicion
Dim_Productos,id_marca,int,-,YES,6
Dim_Productos,Marca,nvarchar,150,NO,7
Dim_Productos,id_categoria,int,-,YES,8
Dim_Productos,Categoria,nvarchar,150,NO,9
Dim_Productos,Categoria_Padre,nvarchar,150,NO,10
Dim_Productos,Segmento_Comercial,varchar,18,NO,11
Dim_Productos,Material,nvarchar,100,NO,12
Dim_Productos,Genero,nvarchar,50,NO,13
Dim_Productos,Color,nvarchar,100,NO,14
Dim_Productos,Tipo_Montura,nvarchar,100,NO,15
Dim_Productos,Costo_Unitario,decimal,-,NO,16
Dim_Productos,Precio_Venta,decimal,-,NO,17
Dim_Productos,Fecha_Dato,datetime2,-,YES,18
Dim_Sucursales,id_sucursal,int,-,NO,1
Dim_Sucursales,nombre_sucursal,nvarchar,100,YES,2
Dim_Sucursales,nombre_comercial,nvarchar,100,YES,3
Dim_Sucursales,direccion,nvarchar,MAX,NO,4
Dim_Sucursales,fecha_carga_etl,datetime2,-,YES,5
Dim_Sucursales_Limpia,id_sucursal,int,-,NO,1
Dim_Sucursales_Limpia,Nombre_Sucursal,nvarchar,100,YES,2
Dim_Sucursales_Limpia,Municipio,nvarchar,150,NO,3
Dim_Sucursales_Limpia,Localidad,nvarchar,100,YES,4
Dim_Tiempo,Date,date,-,YES,1
Dim_Tiempo,Anio,int,-,YES,2
Dim_Tiempo,Mes_Nro,int,-,YES,3
Dim_Tiempo,Dia,int,-,YES,4
Dim_Tiempo,Mes,nvarchar,4000,YES,5
Dim_Tiempo,Mes_Corto,nvarchar,4000,YES,6
Dim_Tiempo,Trimestre,varchar,13,NO,7
Dim_Tiempo,Anio_Mes,nvarchar,4000,YES,8
Dim_Tiempo,Dia_Semana,int,-,YES,9
Dim_Tiempo,Nombre_Dia,nvarchar,4000,YES,10
Dim_Tiempo,Es_Fin_Semana,varchar,2,NO,11
Dim_Tiempo,Fecha_Relativa,varchar,6,NO,12
Dim_Tiempo,Slicer_Mes,nvarchar,4000,YES,13
Dim_Tiempo,Filtro_Comparativo_Dinamico,int,-,NO,14
Fact_Eficiencia_Ordenes,id_orden_cristal,int,-,NO,1
Fact_Eficiencia_Ordenes,id_pedido,int,-,YES,2
Fact_Eficiencia_Ordenes,id_sucursal,int,-,YES,3
Fact_Eficiencia_Ordenes,id_cliente,int,-,YES,4
Fact_Eficiencia_Ordenes,fecha_pedido,date,-,YES,5
Fact_Eficiencia_Ordenes,anio,int,-,YES,6
Fact_Eficiencia_Ordenes,mes_nro,int,-,YES,7
Fact_Eficiencia_Ordenes,mes_nombre,varchar,10,YES,8
Fact_Eficiencia_Ordenes,periodo,varchar,15,NO,9
Fact_Eficiencia_Ordenes,od_tipo_lente,nvarchar,100,YES,10
Fact_Eficiencia_Ordenes,tipo_lente_descripcion,varchar,10,NO,11
Fact_Eficiencia_Ordenes,oi_tipo_lente,nvarchar,100,YES,12
Fact_Eficiencia_Ordenes,od_material,nvarchar,100,YES,13
Fact_Eficiencia_Ordenes,oi_material,nvarchar,100,YES,14
Fact_Eficiencia_Ordenes,estado_pedido,nvarchar,50,YES,15
Fact_Eficiencia_Ordenes,monto_total,decimal,-,YES,16
Fact_Eficiencia_Ordenes,monto_pagado,decimal,-,YES,17
Fact_Examenes,id_examen,int,-,NO,1
Fact_Examenes,id_cliente,int,-,YES,2
Fact_Examenes,id_sucursal,int,-,YES,3
Fact_Examenes,nombre_sucursal,nvarchar,100,YES,4
Fact_Examenes,id_optometrista,int,-,NO,5
Fact_Examenes,fecha_examen_completa,date,-,YES,6
Fact_Examenes,anio_examen,int,-,YES,7
Fact_Examenes,mes_examen_nro,int,-,YES,8
Fact_Examenes,mes_examen_nombre,varchar,10,YES,9
Fact_Examenes,periodo_examen,varchar,15,NO,10
Fact_Examenes,calidad_registro,varchar,13,NO,11
Fact_Examenes,estado_conversion,varchar,13,NO,12
Fact_Examenes,id_pedido,int,-,YES,13
Fact_Examenes,dias_a_conversion,int,-,YES,14
Fact_Examenes,monto_total,decimal,-,YES,15
Fact_Inventario,id_producto,int,-,YES,1
Fact_Inventario,id_sucursal,int,-,YES,2
Fact_Inventario,cantidad_disponible,int,-,YES,3
Fact_Inventario,fecha_movimiento_stock,date,-,YES,4
Fact_Inventario,fecha_foto_sistema,datetime2,-,YES,5
Fact_Inventario,fecha_foto_date,date,-,YES,6
Fact_Inventario,costo_unitario,decimal,-,YES,7
Fact_Inventario,valor_total_inventario,decimal,-,YES,8
Fact_Inventario,estado_stock,varchar,14,NO,9
Fact_Inventario,calidad_costo,varchar,18,NO,10
Fact_Inventario,Marca,nvarchar,150,NO,11
Fact_Inventario,Segmento_Comercial,varchar,18,NO,12
Fact_Operaciones_Maestra,ID_Pedido,int,-,NO,1
Fact_Operaciones_Maestra,Fecha_Pedido,date,-,YES,2
Fact_Operaciones_Maestra,id_sucursal,int,-,YES,3
Fact_Operaciones_Maestra,ID_Cliente,int,-,YES,4
Fact_Operaciones_Maestra,Paciente,nvarchar,301,YES,5
Fact_Operaciones_Maestra,ID_Receta,int,-,NO,6
Fact_Operaciones_Maestra,Codigo_Sobre,nvarchar,50,YES,7
Fact_Operaciones_Maestra,Material,nvarchar,100,NO,8
Fact_Operaciones_Maestra,Tipo_Lente,nvarchar,100,NO,9
Fact_Operaciones_Maestra,Esfera_OD,decimal,-,YES,10
Fact_Operaciones_Maestra,Esfera_OI,decimal,-,YES,11
Fact_Operaciones_Maestra,Monto_Total,decimal,-,YES,12
Fact_Operaciones_Maestra,Monto_Pagado,decimal,-,YES,13
Fact_Operaciones_Maestra,Saldo_Pendiente,decimal,-,YES,14
Fact_Operaciones_Maestra,Estado_Pago,nvarchar,50,YES,15
Fact_Operaciones_Maestra,Estatus_Cobro,varchar,18,NO,16
Fact_Operaciones_Maestra,Fecha_Recepcion,int,-,YES,17
Fact_Operaciones_Maestra,Dias_Lab,int,-,YES,18
Fact_Operaciones_Maestra,Anio,int,-,YES,19
Fact_Operaciones_Maestra,Mes_Nro,int,-,YES,20
Fact_Operaciones_Maestra,Mes_Nombre,varchar,10,YES,21
Fact_Operaciones_Maestra,Periodo,varchar,7,YES,22
Fact_Operaciones_Maestra,Semaforo_Meta,varchar,18,NO,23
Fact_Operaciones_Maestra,Calidad_Analisis,varchar,19,NO,24
Fact_Pedidos,id_pedido,int,-,NO,1
Fact_Pedidos,numero_pedido,nvarchar,50,YES,2
Fact_Pedidos,id_sucursal,int,-,YES,3
Fact_Pedidos,id_cliente,int,-,YES,4
Fact_Pedidos,id_asesor,int,-,YES,5
Fact_Pedidos,monto_total,decimal,-,YES,6
Fact_Pedidos,monto_pagado,decimal,-,YES,7
Fact_Pedidos,saldo_pendiente,decimal,-,YES,8
Fact_Pedidos,estado_pago_interno,nvarchar,50,YES,9
Fact_Pedidos,id_estado_orden,int,-,YES,10
Fact_Pedidos,Estado_Orden_Detalle,varchar,21,NO,11
Fact_Pedidos,fecha_pedido_completa,date,-,YES,12
Fact_Pedidos,anio_pedido,int,-,YES,13
Fact_Pedidos,mes_pedido_nro,int,-,YES,14
Fact_Pedidos,mes_pedido_nombre,varchar,10,YES,15
Fact_Pedidos,periodo_pedido,varchar,15,NO,16
Fact_Produccion_Lentes,ID_Orden,int,-,NO,1
Fact_Produccion_Lentes,Codigo_Sobre,nvarchar,50,YES,2
Fact_Produccion_Lentes,ID_Pedido,int,-,YES,3
Fact_Produccion_Lentes,ID_Sucursal,int,-,YES,4
Fact_Produccion_Lentes,ID_Cliente,int,-,YES,5
Fact_Produccion_Lentes,Fecha_Promesa,datetime2,-,YES,6
Fact_Produccion_Lentes,od_esfera,decimal,-,YES,7
Fact_Produccion_Lentes,od_cilindro,decimal,-,YES,8
Fact_Produccion_Lentes,od_adicion,decimal,-,YES,9
Fact_Produccion_Lentes,od_tipo_lente,nvarchar,100,YES,10
Fact_Produccion_Lentes,od_material,nvarchar,100,YES,11
Fact_Produccion_Lentes,oi_esfera,decimal,-,YES,12
Fact_Produccion_Lentes,oi_cilindro,decimal,-,YES,13
Fact_Produccion_Lentes,oi_adicion,decimal,-,YES,14
Fact_Produccion_Lentes,oi_tipo_lente,nvarchar,100,YES,15
Fact_Produccion_Lentes,oi_material,nvarchar,100,YES,16
Fact_Produccion_Lentes,Diagnostico_Derecho,varchar,13,NO,17
Fact_Produccion_Lentes,fecha_carga_etl,datetime2,-,YES,18
Fact_Recaudo,id_cobro,int,-,NO,1
Fact_Recaudo,id_factura,int,-,NO,2
Fact_Recaudo,id_pedido,int,-,YES,3
Fact_Recaudo,id_sucursal,int,-,YES,4
Fact_Recaudo,id_cliente,int,-,YES,5
Fact_Recaudo,metodo_pago,nvarchar,100,YES,6
Fact_Recaudo,tipo_recaudo,varchar,28,NO,7
Fact_Recaudo,importe_neto,decimal,-,NO,8
Fact_Recaudo,fecha_completa,date,-,YES,9
Fact_Recaudo,anio_cobro,int,-,YES,10
Fact_Recaudo,mes_nro,int,-,YES,11
Fact_Recaudo,mes_nombre,varchar,10,YES,12
Fact_Recaudo,periodo,varchar,15,NO,13
Fact_Tesoreria,id_pago_tesoreria,int,-,NO,1
Fact_Tesoreria,id_sucursal,int,-,YES,2
Fact_Tesoreria,concepto_movimiento,nvarchar,MAX,YES,3
Fact_Tesoreria,metodo_pago,nvarchar,100,YES,4
Fact_Tesoreria,monto_movimiento,decimal,-,YES,5
Fact_Tesoreria,categoria_tesoreria,varchar,19,NO,6
Fact_Tesoreria,responsable,nvarchar,100,YES,7
Fact_Tesoreria,fecha_completa,date,-,YES,8
Fact_Tesoreria,anio_tesoreria,int,-,YES,9
Fact_Tesoreria,mes_tesoreria_nro,int,-,YES,10
Fact_Tesoreria,mes_tesoreria_nombre,varchar,10,YES,11
Fact_Tesoreria,periodo_tesoreria,varchar,15,NO,12
Fact_Ventas,id_factura,int,-,NO,1
Fact_Ventas,id_sucursal,int,-,YES,2
Fact_Ventas,id_cliente,int,-,YES,3
Fact_Ventas,id_vendedor,int,-,NO,4
Fact_Ventas,monto_total,decimal,-,YES,5
Fact_Ventas,tipo_transaccion,varchar,10,NO,6
Fact_Ventas,monto_sin_iva,decimal,-,YES,7
Fact_Ventas,fecha_factura,date,-,YES,8
Fact_Ventas,anio_factura,int,-,YES,9
Fact_Ventas,mes_factura_nro,int,-,YES,10
Fact_Ventas,mes_factura_nombre,varchar,10,YES,11
Fact_Ventas,periodo_factura,varchar,15,NO,12
Fact_Ventas_Analitico,id_factura,int,-,NO,1
Fact_Ventas_Analitico,id_linea,int,-,NO,2
Fact_Ventas_Analitico,id_producto,int,-,YES,3
Fact_Ventas_Analitico,id_sucursal,int,-,YES,4
Fact_Ventas_Analitico,nombre_producto,nvarchar,200,YES,5
Fact_Ventas_Analitico,nombre_modelo_padre,nvarchar,200,YES,6
Fact_Ventas_Analitico,material_marco,nvarchar,100,YES,7
Fact_Ventas_Analitico,tipo_montura,nvarchar,100,YES,8
Fact_Ventas_Analitico,genero_objetivo,nvarchar,50,YES,9
Fact_Ventas_Analitico,id_categoria,int,-,YES,10
Fact_Ventas_Analitico,nombre_categoria,nvarchar,150,YES,11
Fact_Ventas_Analitico,id_categoria_padre,int,-,YES,12
Fact_Ventas_Analitico,cantidad,decimal,-,YES,13
Fact_Ventas_Analitico,precio_lista_unitario,decimal,-,YES,14
Fact_Ventas_Analitico,monto_final_transaccional,decimal,-,YES,15
Fact_Ventas_Analitico,ajuste_comercial_neto,decimal,-,YES,16
Fact_Ventas_Analitico,fecha_factura,date,-,YES,17
Fact_Ventas_Analitico,anio_venta,int,-,YES,18
Fact_Ventas_Analitico,mes_venta_nro,int,-,YES,19
Fact_Ventas_Analitico,mes_venta_nombre,varchar,10,YES,20
Fact_Ventas_Analitico,periodo_venta,varchar,15,NO,21
Fact_Ventas_Detalle,id_factura,int,-,NO,1
Fact_Ventas_Detalle,id_linea,int,-,NO,2
Fact_Ventas_Detalle,id_producto,int,-,YES,3
Fact_Ventas_Detalle,cantidad,decimal,-,YES,4
Fact_Ventas_Detalle,id_sucursal,int,-,YES,5
Fact_Ventas_Detalle,precio_lista_unitario,decimal,-,YES,6
Fact_Ventas_Detalle,monto_final_transaccional,decimal,-,YES,7
Fact_Ventas_Detalle,ajuste_comercial_neto,decimal,-,YES,8
Fact_Ventas_Detalle,fecha_factura,date,-,YES,9
Fact_Ventas_Detalle,anio_venta,int,-,YES,10
Fact_Ventas_Detalle,mes_venta_nro,int,-,YES,11
Fact_Ventas_Detalle,mes_venta_nombre,varchar,10,YES,12
Fact_Ventas_Detalle,periodo_venta,varchar,15,NO,13
Fact_Ventas_por_Categoria,id_factura,int,-,NO,1
Fact_Ventas_por_Categoria,id_sucursal,int,-,YES,2
Fact_Ventas_por_Categoria,categoria_agrupada,nvarchar,150,YES,3
Fact_Ventas_por_Categoria,categoria_original,nvarchar,150,YES,4
Fact_Ventas_por_Categoria,venta_neta,decimal,-,YES,5
Fact_Ventas_por_Categoria,fecha_factura,date,-,YES,6
Fact_Ventas_por_Categoria,anio_venta,int,-,YES,7
Fact_Ventas_por_Categoria,mes_venta_nro,int,-,YES,8
Fact_Ventas_por_Tipo_Lente,id_orden_cristal,int,-,NO,1
Fact_Ventas_por_Tipo_Lente,id_pedido_venta,int,-,YES,2
Fact_Ventas_por_Tipo_Lente,id_sucursal,int,-,YES,3
Fact_Ventas_por_Tipo_Lente,tipo_lente,varchar,10,NO,4
Fact_Ventas_por_Tipo_Lente,venta_neta,decimal,-,YES,5
Fact_Ventas_por_Tipo_Lente,monto_pagado,decimal,-,YES,6
Fact_Ventas_por_Tipo_Lente,saldo_pendiente,decimal,-,YES,7
Fact_Ventas_por_Tipo_Lente,fecha_venta,date,-,YES,8
Fact_Ventas_por_Tipo_Lente,anio_venta,int,-,YES,9
Fact_Ventas_por_Tipo_Lente,mes_venta_nro,int,-,YES,10
Fact_Ventas_por_Tipo_Lente,mes_venta_nombre,varchar,10,YES,11
Fact_Ventas_por_Tipo_Lente,periodo_venta,varchar,15,NO,12
KPI_Inf1_Cantidad_Facturas,id_factura,int,-,NO,1
KPI_Inf1_Cantidad_Facturas,id_sucursal,int,-,YES,2
KPI_Inf1_Cantidad_Facturas,id_cliente,int,-,YES,3
KPI_Inf1_Cantidad_Facturas,id_vendedor,int,-,NO,4
KPI_Inf1_Cantidad_Facturas,fecha_factura,date,-,YES,5
KPI_Inf1_Cantidad_Facturas,anio_factura,int,-,YES,6
KPI_Inf1_Cantidad_Facturas,mes_factura_nro,int,-,YES,7
KPI_Inf1_Cantidad_Facturas,mes_factura_nombre,varchar,10,YES,8
KPI_Inf1_Cantidad_Facturas,periodo_factura,varchar,15,NO,9
KPI_Inf1_Devoluciones,id_factura,int,-,NO,1
KPI_Inf1_Devoluciones,id_sucursal,int,-,YES,2
KPI_Inf1_Devoluciones,id_cliente,int,-,YES,3
KPI_Inf1_Devoluciones,id_vendedor,int,-,NO,4
KPI_Inf1_Devoluciones,fecha_factura,date,-,YES,5
KPI_Inf1_Devoluciones,anio_factura,int,-,YES,6
KPI_Inf1_Devoluciones,mes_factura_nro,int,-,YES,7
KPI_Inf1_Devoluciones,mes_factura_nombre,varchar,10,YES,8
KPI_Inf1_Devoluciones,periodo_factura,varchar,15,NO,9
KPI_Inf1_Devoluciones,devolucion,decimal,-,YES,10
KPI_Inf1_Devoluciones,devolucion_sin_iva,decimal,-,YES,11
KPI_Inf1_Mix_Medios_Pago,id_cobro,int,-,NO,1
KPI_Inf1_Mix_Medios_Pago,id_sucursal,int,-,YES,2
KPI_Inf1_Mix_Medios_Pago,id_cliente,int,-,YES,3
KPI_Inf1_Mix_Medios_Pago,id_pedido,int,-,YES,4
KPI_Inf1_Mix_Medios_Pago,id_factura,int,-,NO,5
KPI_Inf1_Mix_Medios_Pago,metodo_pago,nvarchar,100,YES,6
KPI_Inf1_Mix_Medios_Pago,tipo_recaudo,varchar,28,NO,7
KPI_Inf1_Mix_Medios_Pago,fecha_completa,date,-,YES,8
KPI_Inf1_Mix_Medios_Pago,anio_cobro,int,-,YES,9
KPI_Inf1_Mix_Medios_Pago,mes_nro,int,-,YES,10
KPI_Inf1_Mix_Medios_Pago,mes_nombre,varchar,10,YES,11
KPI_Inf1_Mix_Medios_Pago,periodo,varchar,15,NO,12
KPI_Inf1_Mix_Medios_Pago,importe_neto,decimal,-,NO,13
KPI_Inf1_Net_Sales,id_factura,int,-,NO,1
KPI_Inf1_Net_Sales,id_linea,int,-,NO,2
KPI_Inf1_Net_Sales,id_producto,int,-,YES,3
KPI_Inf1_Net_Sales,id_sucursal,int,-,YES,4
KPI_Inf1_Net_Sales,nombre_producto,nvarchar,200,YES,5
KPI_Inf1_Net_Sales,nombre_categoria,nvarchar,150,YES,6
KPI_Inf1_Net_Sales,subcategoria_lente,nvarchar,150,YES,7
KPI_Inf1_Net_Sales,cantidad,decimal,-,YES,8
KPI_Inf1_Net_Sales,fecha_factura,date,-,YES,9
KPI_Inf1_Net_Sales,anio_venta,int,-,YES,10
KPI_Inf1_Net_Sales,mes_venta_nro,int,-,YES,11
KPI_Inf1_Net_Sales,mes_venta_nombre,varchar,10,YES,12
KPI_Inf1_Net_Sales,periodo_venta,varchar,15,NO,13
KPI_Inf1_Net_Sales,monto_final_transaccional,decimal,-,YES,14
KPI_Inf1_Net_Sales,precio_lista_unitario,decimal,-,YES,15
KPI_Inf1_Net_Sales,ajuste_comercial_neto,decimal,-,YES,16
KPI_Inf1_Proyeccion_Venta_Neta,id_factura,int,-,NO,1
KPI_Inf1_Proyeccion_Venta_Neta,id_sucursal,int,-,YES,2
KPI_Inf1_Proyeccion_Venta_Neta,id_cliente,int,-,YES,3
KPI_Inf1_Proyeccion_Venta_Neta,id_vendedor,int,-,NO,4
KPI_Inf1_Proyeccion_Venta_Neta,fecha_factura,date,-,YES,5
KPI_Inf1_Proyeccion_Venta_Neta,anio_factura,int,-,YES,6
KPI_Inf1_Proyeccion_Venta_Neta,mes_factura_nro,int,-,YES,7
KPI_Inf1_Proyeccion_Venta_Neta,mes_factura_nombre,varchar,10,YES,8
KPI_Inf1_Proyeccion_Venta_Neta,periodo_factura,varchar,15,NO,9
KPI_Inf1_Proyeccion_Venta_Neta,tipo_transaccion,varchar,10,NO,10
KPI_Inf1_Proyeccion_Venta_Neta,monto_neto,decimal,-,YES,11
KPI_Inf1_Proyeccion_Venta_Neta,dias_del_mes,int,-,YES,12
KPI_Inf1_Proyeccion_Venta_Neta,dia_hoy_gmt4,int,-,YES,13
KPI_Inf1_Proyeccion_Venta_Neta,mes_actual_gmt4,int,-,YES,14
KPI_Inf1_Proyeccion_Venta_Neta,anio_actual_gmt4,int,-,YES,15
KPI_Inf1_Proyeccion_Venta_Neta,es_mes_actual,int,-,NO,16
KPI_Inf1_Ticket_Promedio,periodo,varchar,15,NO,1
KPI_Inf1_Ticket_Promedio,anio,int,-,YES,2
KPI_Inf1_Ticket_Promedio,mes_nro,int,-,YES,3
KPI_Inf1_Ticket_Promedio,mes_nombre,varchar,10,YES,4
KPI_Inf1_Ticket_Promedio,id_sucursal,int,-,YES,5
KPI_Inf1_Ticket_Promedio,venta_neta,decimal,-,YES,6
KPI_Inf1_Ticket_Promedio,cantidad_pedidos,int,-,NO,7
KPI_Inf1_Ticket_Promedio,ticket_promedio,decimal,-,YES,8
KPI_Inf1_Total_Cobrado,id_cobro,int,-,NO,1
KPI_Inf1_Total_Cobrado,id_sucursal,int,-,YES,2
KPI_Inf1_Total_Cobrado,id_cliente,int,-,YES,3
KPI_Inf1_Total_Cobrado,id_pedido,int,-,YES,4
KPI_Inf1_Total_Cobrado,id_factura,int,-,NO,5
KPI_Inf1_Total_Cobrado,metodo_pago,nvarchar,100,YES,6
KPI_Inf1_Total_Cobrado,tipo_recaudo,varchar,28,NO,7
KPI_Inf1_Total_Cobrado,fecha_completa,date,-,YES,8
KPI_Inf1_Total_Cobrado,anio_cobro,int,-,YES,9
KPI_Inf1_Total_Cobrado,mes_nro,int,-,YES,10
KPI_Inf1_Total_Cobrado,mes_nombre,varchar,10,YES,11
KPI_Inf1_Total_Cobrado,periodo,varchar,15,NO,12
KPI_Inf1_Total_Cobrado,importe_neto,decimal,-,NO,13
KPI_Inf1_Venta_Bruta,id_factura,int,-,NO,1
KPI_Inf1_Venta_Bruta,id_sucursal,int,-,YES,2
KPI_Inf1_Venta_Bruta,id_cliente,int,-,YES,3
KPI_Inf1_Venta_Bruta,id_vendedor,int,-,NO,4
KPI_Inf1_Venta_Bruta,fecha_factura,date,-,YES,5
KPI_Inf1_Venta_Bruta,anio_factura,int,-,YES,6
KPI_Inf1_Venta_Bruta,mes_factura_nro,int,-,YES,7
KPI_Inf1_Venta_Bruta,mes_factura_nombre,varchar,10,YES,8
KPI_Inf1_Venta_Bruta,periodo_factura,varchar,15,NO,9
KPI_Inf1_Venta_Bruta,venta_bruta,decimal,-,YES,10
KPI_Inf1_Venta_Bruta,venta_bruta_sin_iva,decimal,-,YES,11
KPI_Inf1_Venta_Neta,id_factura,int,-,NO,1
KPI_Inf1_Venta_Neta,id_sucursal,int,-,YES,2
KPI_Inf1_Venta_Neta,id_cliente,int,-,YES,3
KPI_Inf1_Venta_Neta,id_vendedor,int,-,NO,4
KPI_Inf1_Venta_Neta,fecha_factura,date,-,YES,5
KPI_Inf1_Venta_Neta,anio_factura,int,-,YES,6
KPI_Inf1_Venta_Neta,mes_factura_nro,int,-,YES,7
KPI_Inf1_Venta_Neta,mes_factura_nombre,varchar,10,YES,8
KPI_Inf1_Venta_Neta,periodo_factura,varchar,15,NO,9
KPI_Inf1_Venta_Neta,tipo_transaccion,varchar,10,NO,10
KPI_Inf1_Venta_Neta,monto_neto,decimal,-,YES,11
KPI_Inf1_Venta_Neta,monto_neto_sin_iva,decimal,-,YES,12
KPI_Inf1_Venta_Neta_Producto,id_factura,int,-,NO,1
KPI_Inf1_Venta_Neta_Producto,id_linea,int,-,NO,2
KPI_Inf1_Venta_Neta_Producto,id_producto,int,-,YES,3
KPI_Inf1_Venta_Neta_Producto,id_sucursal,int,-,YES,4
KPI_Inf1_Venta_Neta_Producto,cantidad,decimal,-,YES,5
KPI_Inf1_Venta_Neta_Producto,fecha_factura,date,-,YES,6
KPI_Inf1_Venta_Neta_Producto,anio_venta,int,-,YES,7
KPI_Inf1_Venta_Neta_Producto,mes_venta_nro,int,-,YES,8
KPI_Inf1_Venta_Neta_Producto,mes_venta_nombre,varchar,10,YES,9
KPI_Inf1_Venta_Neta_Producto,periodo_venta,varchar,15,NO,10
KPI_Inf1_Venta_Neta_Producto,monto_final_transaccional,decimal,-,YES,11
KPI_Inf1_Venta_Neta_Producto,precio_lista_unitario,decimal,-,YES,12
KPI_Inf1_Venta_Neta_Producto,ajuste_comercial_neto,decimal,-,YES,13
KPI_Inf1_Venta_Teorica_Lista,id_factura,int,-,NO,1
KPI_Inf1_Venta_Teorica_Lista,id_linea,int,-,NO,2
KPI_Inf1_Venta_Teorica_Lista,id_producto,int,-,YES,3
KPI_Inf1_Venta_Teorica_Lista,id_sucursal,int,-,YES,4
KPI_Inf1_Venta_Teorica_Lista,cantidad,decimal,-,YES,5
KPI_Inf1_Venta_Teorica_Lista,fecha_factura,date,-,YES,6
KPI_Inf1_Venta_Teorica_Lista,anio_venta,int,-,YES,7
KPI_Inf1_Venta_Teorica_Lista,mes_venta_nro,int,-,YES,8
KPI_Inf1_Venta_Teorica_Lista,mes_venta_nombre,varchar,10,YES,9
KPI_Inf1_Venta_Teorica_Lista,periodo_venta,varchar,15,NO,10
KPI_Inf1_Venta_Teorica_Lista,precio_lista_unitario,decimal,-,YES,11
KPI_Inf1_Venta_Teorica_Lista,monto_final_transaccional,decimal,-,YES,12
KPI_Inf1_Venta_Teorica_Lista,venta_teorica_lista,decimal,-,YES,13
KPI_Inf1_Venta_Teorica_Lista,descuento_aplicado,decimal,-,YES,14
KPI_Inf3_Monto_Pedidos,id_pedido,int,-,NO,1
KPI_Inf3_Monto_Pedidos,numero_pedido,nvarchar,50,YES,2
KPI_Inf3_Monto_Pedidos,id_sucursal,int,-,YES,3
KPI_Inf3_Monto_Pedidos,id_cliente,int,-,YES,4
KPI_Inf3_Monto_Pedidos,id_asesor,int,-,YES,5
KPI_Inf3_Monto_Pedidos,estado_pago_interno,nvarchar,50,YES,6
